DRX021429	SAMD00008995
DRX021441	SAMD00008998
DRX021445	SAMD00009000
DRX024938	SAMD00023316
DRX024939	SAMD00023317
DRX024940	SAMD00023318
DRX024941	SAMD00023319
DRX024942	SAMD00023320
DRX024943	SAMD00023321
DRX024944	SAMD00023322
DRX024945	SAMD00023323
DRX026181	SAMD00024925
DRX026182	SAMD00024926
DRX026184	SAMD00024928
DRX027423	SAMD00026228
DRX027426	SAMD00026231
DRX028581	SAMD00027692
DRX028657	SAMD00027954
DRX028658	SAMD00027955
DRX028659	SAMD00027956
DRX028660	SAMD00027957
DRX028661	SAMD00027958
DRX028663	SAMD00027960
DRX028664	SAMD00027961
DRX029820	SAMD00028588
DRX029836	SAMD00028604
DRX029838	SAMD00028606
DRX029840	SAMD00028608
DRX029842	SAMD00028610
DRX029844	SAMD00028612
DRX029846	SAMD00028614
DRX029848	SAMD00028616
DRX029850	SAMD00028618
DRX029852	SAMD00028620
DRX033071	SAMD00031755
DRX033074	SAMD00031758
DRX033075	SAMD00031759
DRX033076	SAMD00031760
DRX033077	SAMD00031761
DRX033079	SAMD00031763
DRX033081	SAMD00031765
DRX033085	SAMD00031769
DRX033087	SAMD00031771
DRX033088	SAMD00031772
DRX033089	SAMD00031773
DRX033091	SAMD00031775
DRX033092	SAMD00031776
DRX036229	SAMD00034975
DRX036230	SAMD00034976
DRX036231	SAMD00034979
DRX036232	SAMD00034980
DRX036839	SAMD00034189
DRX036840	SAMD00034190
DRX036841	SAMD00034191
DRX036842	SAMD00034192
DRX036843	SAMD00034193
DRX036844	SAMD00034194
DRX036845	SAMD00034195
DRX036846	SAMD00034196
DRX036847	SAMD00034197
DRX036848	SAMD00034198
DRX036849	SAMD00034199
DRX036850	SAMD00034200
DRX036851	SAMD00034201
DRX036852	SAMD00034202
DRX036853	SAMD00034203
DRX036854	SAMD00034204
DRX036855	SAMD00034205
DRX036856	SAMD00034206
DRX036857	SAMD00034207
DRX036858	SAMD00034208
DRX036859	SAMD00034209
DRX036860	SAMD00034210
DRX036861	SAMD00034211
DRX036862	SAMD00034212
DRX036863	SAMD00034213
DRX036864	SAMD00034214
DRX036865	SAMD00034215
DRX036866	SAMD00034216
DRX036867	SAMD00034217
DRX036868	SAMD00034218
DRX036869	SAMD00034219
DRX036870	SAMD00034220
DRX036871	SAMD00034221
DRX036872	SAMD00034222
DRX036873	SAMD00034223
DRX036874	SAMD00034224
DRX036875	SAMD00034225
DRX036876	SAMD00034226
DRX036877	SAMD00034227
DRX036878	SAMD00034228
DRX036879	SAMD00034229
DRX036880	SAMD00034230
DRX036881	SAMD00034231
DRX036882	SAMD00034232
DRX036883	SAMD00034233
DRX036884	SAMD00034234
DRX036885	SAMD00034235
DRX036886	SAMD00034236
DRX036887	SAMD00034237
DRX036888	SAMD00034238
DRX036889	SAMD00034239
DRX036890	SAMD00034240
DRX036891	SAMD00034241
DRX036892	SAMD00034242
DRX036893	SAMD00034243
DRX036894	SAMD00034244
DRX036895	SAMD00034245
DRX036896	SAMD00034246
DRX036897	SAMD00034247
DRX036898	SAMD00034248
DRX036899	SAMD00034249
DRX036900	SAMD00034250
DRX036901	SAMD00034251
DRX036902	SAMD00034252
DRX036903	SAMD00034253
DRX036904	SAMD00034254
DRX036905	SAMD00034255
DRX036906	SAMD00034256
DRX036907	SAMD00034257
DRX036908	SAMD00034258
DRX036909	SAMD00034259
DRX036910	SAMD00034260
DRX036911	SAMD00034261
DRX036912	SAMD00034262
DRX036913	SAMD00034263
DRX036914	SAMD00034264
DRX036915	SAMD00034265
DRX036916	SAMD00034266
DRX036917	SAMD00034267
DRX036918	SAMD00034268
DRX036919	SAMD00034269
DRX036920	SAMD00034270
DRX036921	SAMD00034271
DRX036922	SAMD00034272
DRX036923	SAMD00034273
DRX036924	SAMD00034274
DRX036925	SAMD00034275
DRX036926	SAMD00034276
DRX036927	SAMD00034277
DRX036928	SAMD00034278
DRX036929	SAMD00034279
